動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
動詞,自立,*,*,五段・サ行,連用形,直す,ナオシ,ナオシ	なおし
名詞,一般,*,*,*,*,汽車,キシャ,キシャ	列車
名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ	今
名詞,ナイ形容詞語幹,*,*,*,*,まちがい,マチガイ,マチガイ	間違い
動詞,自立,*,*,五段・ラ行,基本形,さわる,サワル,サワル	触る
名詞,一般,*,*,*,*,夜中,ヤチュウ,ヤチュー	夜
動詞,自立,*,*,五段・サ行,連用形,費やす,ツイヤシ,ツイヤシ	使っ
名詞,副詞可能,*,*,*,*,多数,タスウ,タスー	多く
動詞,自立,*,*,五段・サ行,未然形,移す,ウツサ,ウツサ	変え
名詞,一般,*,*,*,*,背中,セナカ,セナカ	背
名詞,接尾,助数詞,*,*,*,才,サイ,サイ	歳
名詞,一般,*,*,*,*,ポップコーン,ポップコーン,ポップコーン	菓子
動詞,自立,*,*,一段,連用形,きこえる,キコエ,キコエ	聞こえ
動詞,自立,*,*,五段・サ行,未然形,はたす,ハタサ,ハタサ	守ら
動詞,自立,*,*,五段・ラ行,連用タ接続,祈る,イノッ,イノッ	願っ
名詞,形容動詞語幹,*,*,*,*,ばか,バカ,バカ	馬鹿
動詞,自立,*,*,一段,連用形,出掛ける,デカケ,デカケ	行っ
名詞,サ変接続,*,*,*,*,同調,ドウチョウ,ドーチョー	賛成
動詞,自立,*,*,五段・ラ行,連用タ接続,眠る,ネムッ,ネムッ	寝
動詞,自立,*,*,一段,未然形,いける,イケ,イケ	なら
名詞,一般,*,*,*,*,ダイヤモンド,ダイヤモンド,ダイヤモンド	宝石
名詞,サ変接続,*,*,*,*,テスト,テスト,テスト	試験
副詞,一般,*,*,*,*,たとえ,タトエ,タトエ	もし
名詞,一般,*,*,*,*,視力,シリョク,シリョク	目
名詞,形容動詞語幹,*,*,*,*,台無し,ダイナシ,ダイナシ	ダメ
名詞,一般,*,*,*,*,向こう,ムコウ,ムコー	反対
名詞,一般,*,*,*,*,職,ショク,ショク	仕事
動詞,自立,*,*,一段,基本形,出迎える,デムカエル,デムカエル	迎える
動詞,自立,*,*,一段,命令ｒｏ,付ける,ツケロ,ツケロ	つけろ
名詞,一般,*,*,*,*,レジャー,レジャー,レジャー	休み
名詞,一般,*,*,*,*,キャプテン,キャプテン,キャプテン	一番
動詞,自立,*,*,一段,未然形,感じる,カンジ,カンジ	覚え
名詞,一般,*,*,*,*,スーツ,スーツ,スーツ	服
名詞,サ変接続,*,*,*,*,プレー,プレー,プレー	試合
名詞,一般,*,*,*,*,サミット,サミット,サミット	会議
動詞,自立,*,*,五段・バ行,連用形,よぶ,ヨビ,ヨビ	呼び
名詞,接尾,一般,*,*,*,おき,オキ,オキ	ごと
動詞,自立,*,*,一段,基本形,探し出せる,サガシダセル,サガシダセル	探す
動詞,自立,*,*,一段,未然形,つづける,ツヅケ,ツズケ	続け
名詞,一般,*,*,*,*,美術,ビジュツ,ビジュツ	芸術
動詞,非自立,*,*,一段,連用形,いける,イケ,イケ	なり
動詞,自立,*,*,一段,基本形,はける,ハケル,ハケル	なくなる
名詞,形容動詞語幹,*,*,*,*,上々,ジョウジョウ,ジョージョー	十分
名詞,一般,*,*,*,*,海外,カイガイ,カイガイ	外国
名詞,一般,*,*,*,*,バッグ,バッグ,バッグ	鞄
名詞,サ変接続,*,*,*,*,同意,ドウイ,ドーイ	賛成
動詞,自立,*,*,一段,連用形,なれる,ナレ,ナレ	慣れ
動詞,非自立,*,*,五段・ラ行特殊,連用形,いらっしゃる,イラッシャイ,イラッシャイ	い
名詞,代名詞,一般,*,*,*,皆,ミナ,ミナ	みんな
動詞,自立,*,*,一段,連用形,消し止める,ケシトメ,ケシトメ	消し
名詞,一般,*,*,*,*,トップ,トップ,トップ	一番
名詞,一般,*,*,*,*,うそ,ウソ,ウソ	嘘
副詞,一般,*,*,*,*,ちらりと,チラリト,チラリト	少し
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,履く,ハイ,ハイ	着
動詞,自立,*,*,一段,基本形,嗅ぎつける,カギツケル,カギツケル	気づく
名詞,一般,*,*,*,*,叫び,サケビ,サケビ	声
名詞,一般,*,*,*,*,昆虫,コンチュウ,コンチュー	虫
名詞,一般,*,*,*,*,イヌ,イヌ,イヌ	犬
名詞,数,*,*,*,*,九,キュウ,キュー	９
動詞,自立,*,*,五段・カ行イ音便,連用形,向く,ムキ,ムキ	見
名詞,代名詞,一般,*,*,*,俺,オレ,オレ	私
副詞,一般,*,*,*,*,ともかく,トモカク,トモカク	とにかく
名詞,一般,*,*,*,*,父親,チチオヤ,チチオヤ	父
動詞,自立,*,*,五段・ラ行,基本形,おわる,オワル,オワル	終わる
動詞,自立,*,*,五段・カ行イ音便,基本形,はく,ハク,ハク	着る
動詞,自立,*,*,一段,連用形,辞める,ヤメ,ヤメ	やめ
名詞,一般,*,*,*,*,さよなら,サヨナラ,サヨナラ	挨拶
名詞,一般,*,*,*,*,台風,タイフウ,タイフー	嵐
名詞,一般,*,*,*,*,たばこ,タバコ,タバコ	煙草
名詞,一般,*,*,*,*,街,マチ,マチ	町
名詞,副詞可能,*,*,*,*,きょう,キョウ,キョー	今日
動詞,自立,*,*,五段・ラ行,未然形,しゃべる,シャベラ,シャベラ	話さ
形容詞,自立,*,*,形容詞・イ段,連用タ接続,ほしい,ホシカッ,ホシカッ	欲しかっ
名詞,一般,*,*,*,*,ばか,バカ,バカ	馬鹿
名詞,一般,*,*,*,*,交番,コウバン,コーバン	警察
動詞,自立,*,*,一段,未然形,報じる,ホウジ,ホージ	伝え
名詞,形容動詞語幹,*,*,*,*,すてき,ステキ,ステキ	素敵
形容詞,自立,*,*,形容詞・アウオ段,基本形,暖かい,アタタカイ,アタタカイ	あたたかい
動詞,自立,*,*,一段,連用形,診る,ミ,ミ	見
動詞,自立,*,*,五段・サ行,基本形,治す,ナオス,ナオス	なおす
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,かたづく,カタヅイ,カタズイ	終わっ
動詞,自立,*,*,一段,連用形,言いつける,イイツケ,イーツケ	言っ
動詞,自立,*,*,五段・サ行,連用形,引き出す,ヒキダシ,ヒキダシ	取り
名詞,一般,*,*,*,*,裏側,ウラガワ,ウラガワ	裏
動詞,自立,*,*,五段・マ行,連用タ接続,たのむ,タノン,タノン	頼ん
副詞,一般,*,*,*,*,後ほど,ノチホド,ノチホド	後で
名詞,数,*,*,*,*,五,ゴ,ゴ	５
名詞,代名詞,一般,*,*,*,己,オノレ,オノレ	自分
名詞,副詞可能,*,*,*,*,いちばん,イチバン,イチバン	一番
名詞,サ変接続,*,*,*,*,パス,パス,パス	合格
名詞,非自立,一般,*,*,*,もん,モン,モン	もの
名詞,サ変接続,*,*,*,*,信用,シンヨウ,シンヨー	信頼
動詞,自立,*,*,一段,基本形,とりあげる,トリアゲル,トリアゲル	する
名詞,一般,*,*,*,*,見張り,ミハリ,ミハリ	番
副詞,一般,*,*,*,*,すぐさま,スグサマ,スグサマ	すぐ
動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ	言う
名詞,一般,*,*,*,*,権限,ケンゲン,ケンゲン	権利
名詞,一般,*,*,*,*,向い,ムカイ,ムカイ	反対
動詞,自立,*,*,五段・サ行,未然形,取り壊す,トリコワサ,トリコワサ	壊さ
名詞,一般,*,*,*,*,先方,センポウ,センポー	相手
名詞,一般,*,*,*,*,非,ヒ,ヒ	間違い
名詞,サ変接続,*,*,*,*,野生,ヤセイ,ヤセイ	自然
名詞,サ変接続,*,*,*,*,探検,タンケン,タンケン	調査
動詞,自立,*,*,五段・ラ行,連用タ接続,造る,ツクッ,ツクッ	作っ
名詞,一般,*,*,*,*,悲鳴,ヒメイ,ヒメイ	声
名詞,一般,*,*,*,*,服装,フクソウ,フクソー	服
動詞,自立,*,*,五段・タ行,連用形,もつ,モチ,モチ	持ち
動詞,自立,*,*,五段・ラ行,連用タ接続,参る,マイッ,マイッ	困っ
形容詞,自立,*,*,形容詞・イ段,基本形,ほしい,ホシイ,ホシイ	欲しい
動詞,自立,*,*,一段,連用形,こえる,コエ,コエ	超え
名詞,一般,*,*,*,*,癌,ガン,ガン	ガン
名詞,副詞可能,*,*,*,*,最中,サイチュウ,サイチュー	途中
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,支払う,シハラッ,シハラッ	払っ
動詞,自立,*,*,一段,未然形,受け入れる,ウケイレ,ウケイレ	受け
名詞,一般,*,*,*,*,ランチ,ランチ,ランチ	昼食
動詞,自立,*,*,一段,連用形,見かける,ミカケ,ミカケ	見
名詞,一般,*,*,*,*,並,ナミ,ナミ	普通
動詞,自立,*,*,一段,連用形,感じる,カンジ,カンジ	思っ
動詞,自立,*,*,一段,未然形,でかける,デカケ,デカケ	出かけ
名詞,一般,*,*,*,*,ディナー,ディナー,ディナー	夕食
名詞,一般,*,*,*,*,ネコ,ネコ,ネコ	猫
名詞,一般,*,*,*,*,ビーチ,ビーチ,ビーチ	海
名詞,サ変接続,*,*,*,*,講義,コウギ,コーギ	授業
動詞,自立,*,*,五段・ガ行,基本形,受け継ぐ,ウケツグ,ウケツグ	続ける
名詞,一般,*,*,*,*,お陰,オカゲ,オカゲ	力
動詞,自立,*,*,五段・サ行,未然形,さがす,サガサ,サガサ	探さ
名詞,一般,*,*,*,*,叔母さん,オバサン,オバサン	おばさん
動詞,自立,*,*,五段・ラ行,連用タ接続,のる,ノッ,ノッ	乗っ
名詞,一般,*,*,*,*,ビジョン,ビジョン,ビジョン	姿
名詞,サ変接続,*,*,*,*,習得,シュウトク,シュートク	勉強
名詞,一般,*,*,*,*,お腹,オナカ,オナカ	腹
名詞,一般,*,*,*,*,人口,ジンコウ,ジンコー	人
名詞,形容動詞語幹,*,*,*,*,容易,ヨウイ,ヨーイ	簡単
名詞,一般,*,*,*,*,かさ,カサ,カサ	傘
名詞,非自立,一般,*,*,*,折,オリ,オリ	時
名詞,一般,*,*,*,*,箇所,カショ,カショ	場所
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,恐い,コワク,コワク	怖く
動詞,自立,*,*,五段・ラ行,連用タ接続,あがる,アガッ,アガッ	終わっ
連体詞,*,*,*,*,*,こういう,コウイウ,コーユウ	こんな
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,うたう,ウタッ,ウタッ	歌っ
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,暖かい,アタタカ,アタタカ	あたたか
動詞,自立,*,*,五段・ラ行,基本形,どなる,ドナル,ドナル	怒る
名詞,サ変接続,*,*,*,*,休息,キュウソク,キューソク	休み
名詞,形容動詞語幹,*,*,*,*,むだ,ムダ,ムダ	無意味
名詞,一般,*,*,*,*,願い,ネガイ,ネガイ	希望
名詞,サ変接続,*,*,*,*,勘定,カンジョウ,カンジョー	会計
名詞,一般,*,*,*,*,いっしょ,イッショ,イッショ	一緒
名詞,一般,*,*,*,*,淑女,シュクジョ,シュクジョ	女性
形容詞,自立,*,*,形容詞・イ段,基本形,むずかしい,ムズカシイ,ムズカシイ	難しい
名詞,サ変接続,*,*,*,*,熱中,ネッチュウ,ネッチュー	集中
動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,解く,ホドコ,ホドコ	答えよ
副詞,一般,*,*,*,*,てんで,テンデ,テンデ	まるで
動詞,自立,*,*,一段,連用形,抱える,カカエ,カカエ	持っ
名詞,形容動詞語幹,*,*,*,*,安静,アンセイ,アンセイ	静か
名詞,形容動詞語幹,*,*,*,*,ブルー,ブルー,ブルー	嫌
動詞,自立,*,*,五段・ワ行促音便,連用形,似合う,ニアイ,ニアイ	合い
動詞,自立,*,*,五段・サ行,未然形,離す,ハナサ,ハナサ	動かさ
名詞,一般,*,*,*,*,間柄,アイダガラ,アイダガラ	関係
名詞,一般,*,*,*,*,インキ,インキ,インキ	インク
名詞,副詞可能,*,*,*,*,翌日,ヨクジツ,ヨクジツ	明日
名詞,一般,*,*,*,*,エサ,エサ,エサ	食べ物
名詞,副詞可能,*,*,*,*,本日,ホンジツ,ホンジツ	今日
動詞,自立,*,*,五段・ラ行,連用タ接続,できあがる,デキアガッ,デキアガッ	終わっ
名詞,サ変接続,*,*,*,*,噂,ウワサ,ウワサ	話
動詞,自立,*,*,一段,基本形,辞める,ヤメル,ヤメル	やめる
名詞,数,*,*,*,*,四,ヨン,ヨン	４
動詞,自立,*,*,一段,連用形,おびえる,オビエ,オビエ	怖がっ
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,こわい,コワク,コワク	怖く
名詞,一般,*,*,*,*,特典,トクテン,トクテン	権利
動詞,自立,*,*,五段・ラ行,連用形,配る,クバリ,クバリ	つけ
動詞,自立,*,*,五段・ラ行,連用タ接続,断る,コトワッ,コトワッ	やめ
名詞,一般,*,*,*,*,河,カワ,カワ	川
名詞,接尾,人名,*,*,*,様,サマ,サマ	普通
名詞,一般,*,*,*,*,御子,ミコ,ミコ	子供
形容詞,自立,*,*,形容詞・イ段,基本形,かわいらしい,カワイラシイ,カワイラシイ	かわいい
動詞,自立,*,*,五段・ラ行,連用タ接続,ぶつかる,ブツカッ,ブツカッ	当たっ
名詞,一般,*,*,*,*,光景,コウケイ,コーケイ	景色
動詞,自立,*,*,一段,連用形,駆ける,カケ,カケ	走っ
動詞,自立,*,*,五段・ワ行促音便,連用形,あう,アイ,アイ	会い
名詞,一般,*,*,*,*,エアポート,エアポート,エアポート	空港
名詞,サ変接続,*,*,*,*,雑談,ザツダン,ザツダン	話
動詞,自立,*,*,五段・ワ行促音便,基本形,出会う,デアウ,デアウ	会う
名詞,一般,*,*,*,*,海辺,ウミベ,ウミベ	海
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,まちがう,マチガッ,マチガッ	間違っ
副詞,一般,*,*,*,*,丁度,チョウド,チョード	ちょうど
動詞,自立,*,*,五段・ラ行,連用タ接続,書き取る,カキトッ,カキトッ	書い
動詞,非自立,*,*,五段・サ行,連用形,いたす,イタシ,イタシ	し
名詞,形容動詞語幹,*,*,*,*,しあわせ,シアワセ,シアワセ	幸せ
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聴く,キイ,キイ	聞い
副詞,一般,*,*,*,*,時おり,トキオリ,トキオリ	時々
名詞,一般,*,*,*,*,暮らし,クラシ,クラシ	生活
名詞,一般,*,*,*,*,カップ,カップ,カップ	コップ
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,遭う,アッ,アッ	あっ
動詞,自立,*,*,五段・ラ行,基本形,あやまる,アヤマル,アヤマル	謝る
名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ	私
名詞,サ変接続,*,*,*,*,手配,テハイ,テハイ	準備
名詞,形容動詞語幹,*,*,*,*,あたりまえ,アタリマエ,アタリマエ	普通
名詞,形容動詞語幹,*,*,*,*,綺麗,キレイ,キレイ	きれい
名詞,一般,*,*,*,*,種子,シュシ,シュシ	種
動詞,自立,*,*,一段,連用形,片づける,カタヅケ,カタズケ	片付け
名詞,一般,*,*,*,*,主将,シュショウ,シュショー	一番
名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ	あなた
名詞,サ変接続,*,*,*,*,論議,ロンギ,ロンギ	議論
動詞,自立,*,*,一段,連用形,つづける,ツヅケ,ツズケ	続け
名詞,一般,*,*,*,*,めがね,メガネ,メガネ	眼鏡
形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,恐い,コワカッ,コワカッ	怖かっ
動詞,自立,*,*,五段・ワ行促音便,基本形,雇う,ヤトウ,ヤトウ	働かせる
動詞,自立,*,*,五段・サ行,連用形,つぶす,ツブシ,ツブシ	過ごし
